"subject_id","assigned_condition"
1,2
2,1
3,2
4,1
5,2
6,1
7,2
8,1
9,2
10,1
11,1
12,2
13,2
14,1
15,1
16,2
17,2
18,1
19,2
20,1
21,2
22,1
23,1
24,2
25,2
26,1
27,2
28,1
29,2
30,1
31,1
32,2
33,1
34,2
35,2
36,1
37,1
38,2
39,1
40,2
41,1
42,2
43,2
44,1
45,2
46,1
47,2
48,1
49,2
50,1
51,1
52,2
53,1
54,2
55,1
56,2
57,1
58,2
59,1
60,2
61,1
62,2
63,2
64,1
65,2
66,1
67,2
68,1
69,1
70,2
71,1
72,2
73,2
74,1
75,1
76,2
77,2
78,1
79,1
80,2
81,2
82,1
83,1
84,2
85,2
86,1
87,2
88,1
89,2
90,1
91,2
92,1
93,2
94,1
95,2
96,1
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,2
108,1
109,1
110,2
111,1
112,2
113,1
114,2
115,2
116,1
117,2
118,1
119,1
120,2
121,1
122,2
123,1
124,2
125,1
126,2
127,1
128,2
129,2
130,1
131,2
132,1
133,2
134,1
135,2
136,1
137,1
138,2
139,2
140,1
141,2
142,1
143,1
144,2
145,2
146,1
147,2
148,1
149,1
150,2
151,1
152,2
153,1
154,2
155,1
156,2
157,1
158,2
159,2
160,1
161,2
162,1
163,2
164,1
165,2
166,1
167,1
168,2
169,2
170,1
171,2
172,1
173,1
174,2
175,2
176,1
177,2
178,1
179,1
180,2
181,2
182,1
183,2
184,1
185,2
186,1
187,2
188,1
189,1
190,2
191,2
192,1
193,1
194,2
195,1
196,2
197,2
198,1
199,1
200,2
201,1
202,2
203,1
204,2
205,2
206,1
207,1
208,2
209,1
210,2
211,2
212,1
213,2
214,1
215,2
216,1
217,1
218,2
219,1
220,2
221,1
222,2
223,2
224,1
225,1
226,2
227,1
228,2
229,1
230,2
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,2
240,1
241,1
242,2
243,1
244,2
245,1
246,2
247,1
248,2
249,1
250,2
251,1
252,2
253,2
254,1
255,2
256,1
257,2
258,1
259,1
260,2
261,2
262,1
263,2
264,1
265,1
266,2
267,2
268,1
269,2
270,1
271,1
272,2
273,1
274,2
275,1
276,2
277,2
278,1
279,1
280,2
281,1
282,2
283,2
284,1
285,1
286,2
287,2
288,1
289,2
290,1
291,2
292,1
293,1
294,2
295,1
296,2
297,1
298,2
299,2
300,1
301,2
302,1
303,2
304,1
305,1
306,2
307,1
308,2
309,1
310,2
311,2
312,1
313,1
314,2
315,1
316,2
317,1
318,2
319,2
320,1
321,1
322,2
323,2
324,1
325,1
326,2
327,1
328,2
329,2
330,1
331,1
332,2
333,2
334,1
335,2
336,1
337,1
338,2
339,2
340,1
341,2
342,1
343,1
344,2
345,2
346,1
347,1
348,2
349,1
350,2
351,2
352,1
353,1
354,2
355,2
356,1
357,1
358,2
359,1
360,2
361,1
362,2
363,2
364,1
365,1
366,2
367,1
368,2
369,2
370,1
371,1
372,2
373,2
374,1
375,1
376,2
377,1
378,2
379,1
380,2
381,1
382,2
383,1
384,2
385,2
386,1
387,2
388,1
389,1
390,2
391,2
392,1
393,1
394,2
395,2
396,1
397,1
398,2
399,2
400,1
401,2
402,1
403,1
404,2
405,2
406,1
407,1
408,2
409,2
410,1
411,1
412,2
413,2
414,1
415,1
416,2
417,2
418,1
419,1
420,2
421,1
422,2
423,1
424,2
425,1
426,2
427,2
428,1
429,1
430,2
431,2
432,1
433,2
434,1
435,1
436,2
437,2
438,1
439,2
440,1
441,1
442,2
443,1
444,2
445,1
446,2
447,2
448,1
449,2
450,1
451,1
452,2
453,2
454,1
455,1
456,2
457,2
458,1
459,1
460,2
461,2
462,1
463,1
464,2
465,2
466,1
467,2
468,1
469,2
470,1
471,2
472,1
473,2
474,1
475,2
476,1
477,1
478,2
479,1
480,2
481,2
482,1
483,2
484,1
485,2
486,1
487,2
488,1
489,2
490,1
491,1
492,2
493,2
494,1
495,1
496,2
497,1
498,2
499,2
500,1
