subject,trial_type,phase,digit,correct,rt,wmtask,parity,task,key_press,value,targetkey
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,8,1,679.455,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,4,1,562.3,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,2,1,358.335,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,6,1,421.175,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,9,1,356.275,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,7,1,347.6,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,3,1,396.405,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,1,1,349.865,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,2,1,323.48,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,3,1,354.86,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,4,1,423.24,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,1,1,426.895,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,9,1,447.595,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,8,1,458.455,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,7,1,428.2,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,6,1,396.33,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,8,1,395.98,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,1,1,392.41,spatial,odd,parity,76,NA,right
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,2,1,427.31,spatial,even,parity,65,NA,left
ck7u5vy4bcgpq3jfezak,html-keyboard-response,baseline,3,1,435.78,spatial,odd,parity,76,NA,right
