subject,phase,wmtask,correct,response
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""1"",""5""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""2"",""0"",""4"",""5""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""3"",""2""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""6"",""4"",""1""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""7"",""0""]"
ck7u5vy4bcgpq3jfezak,load,spatial,1,"[""2"",""1"",""0"",""3"",""8"",""7""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""2"",""8"",""3"",""6"",""0""]"
ck7u5vy4bcgpq3jfezak,load,spatial,1,"[""1"",""0"",""5"",""2"",""3"",""7""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""3""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""6"",""8"",""1"",""3""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""4"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,1,"[""1"",""3"",""0"",""2"",""7"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""1"",""2"",""6"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,1,"[""8"",""3"",""0"",""2"",""1"",""6""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""4"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""7"",""1""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""6"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""8"",""5"",""2""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""7"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""1"",""2""]"
ck7u5vy4bcgpq3jfezak,load,spatial,1,"[""1"",""3"",""4"",""0"",""2"",""8""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""0"",""8"",""6"",""4""]"
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""5"",""8"",""7"",""6""]"
